kv,Slope
18,0
18,1
19,2
19,3
19,4
19,5
20,6
21,7
22,8
22,9
18,10
18,11
19,12
19,13
19,14
19,15
20,16
21,17
22,18
22,19
24,20
25,21
26,22
28,23
30,24
32,25
34,26
36,27
39,28
43,29
46,30
51,31
55,32
61,33
67,34
75,35
84,36
94,37
105,38
117,39
131,40
146,41
162,42
180,43
201,44
222,45
247,46
252,47
252,48
252,49
252,50
252,51
252,52
252,53
252,54
252,55
252,56
252,57
252,58
252,59
252,60
252,61
252,62
252,63
252,64
252,65
252,66
252,67
252,68
252,69
252,70
252,71
252,72
252,73
252,74
252,75
252,76
252,77
252,78
252,79
252,80
252,81
252,82
252,83
252,84
252,85
252,86
252,87
252,88
252,89
252,90
252,91
252,92
252,93
252,94
252,95
252,96
252,97
252,98
252,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
0,117
0,118
0,119
0,120
0,121
0,122
0,123
0,124
0,125
0,126
0,127
0,128
0,129
0,130
0,131
0,132
0,133
0,134
0,135
0,136
0,137
0,138
0,139
0,140
0,141
0,142
0,143
0,144
0,145
0,146
0,147
0,148
0,149
0,150
0,151
0,152
0,153
0,154
0,155
0,156
0,157
0,158
0,159
0,160
0,161
0,162
0,163
0,164
0,165
0,166
0,167
0,168
0,169
0,170
0,171
0,172
0,173
0,174
0,175
0,176
0,177
0,178
0,179
0,180
0,181
0,182
0,183
0,184
0,185
0,186
0,187
0,188
0,189
0,190
0,191
0,192
0,193
0,194
0,195
0,196
0,197
0,198
0,199
0,200
0,201
0,202
0,203
0,204
0,205
0,206
0,207
0,208
0,209
0,210
0,211
0,212
0,213
0,214
0,215
0,216
0,217
0,218
0,219
0,220
0,221
0,222
0,223
0,224
0,225
0,226
0,227
0,228
0,229
0,230
0,231
0,232
0,233
0,234
0,235
0,236
0,237
0,238
0,239
0,240
0,241
0,242
0,243
0,244
0,245
0,246
0,247
0,248
0,249
0,250
0,251
0,252
0,253
0,254
0,255
